launchangle,launchspeed,pitchtype,outcome,bbtype
9,64,Curveball,out,ground_ball
6,104,Curveball,out,ground_ball
69,80,Slider,out,popup
50,89,Slider,out,fly_ball
77,67,Slider,out,popup
29,75,Slider,out,fly_ball
-57,55,Slider,out,ground_ball
-10,103,Four-Seam Fastball,out,ground_ball
41,86,Curveball,out,fly_ball
46,69,Changeup,out,fly_ball
37,83,Slider,out,fly_ball
-50,65,Slider,out,ground_ball
10,102,Curveball,out,line_drive
53,92,Four-Seam Fastball,out,fly_ball
32,87,Slider,out,fly_ball
17,95,Four-Seam Fastball,out,line_drive
9,94,Curveball,out,line_drive
18,103,Four-Seam Fastball,out,line_drive
20,86,Slider,out,line_drive
57,67,Slider,out,popup
5,72,Slider,out,ground_ball
39,98,Curveball,out,fly_ball
-43,50,Slider,out,ground_ball
56,89,Slider,out,fly_ball
35,85,Four-Seam Fastball,out,fly_ball
8,105,Four-Seam Fastball,out,line_drive
52,100,Four-Seam Fastball,out,fly_ball
41,83,Slider,out,fly_ball
31,95,Slider,out,fly_ball
30,81,Curveball,out,fly_ball
-26,76,Slider,out,ground_ball
60,82,Four-Seam Fastball,out,popup
-26,64,Curveball,out,ground_ball
-15,76,Four-Seam Fastball,out,ground_ball
37,96,Four-Seam Fastball,out,fly_ball
24,89,Changeup,out,line_drive
53,94,Four-Seam Fastball,out,fly_ball
7,92,Slider,out,ground_ball
-30,75,Four-Seam Fastball,out,ground_ball
14,76,Slider,single,line_drive
13,97,Slider,single,line_drive
3,99,Slider,single,ground_ball
7,93,Curveball,single,ground_ball
6,89,Curveball,single,ground_ball
20,84,Four-Seam Fastball,single,line_drive
5,94,Curveball,single,ground_ball
-48,69,Slider,single,ground_ball
4,104,Four-Seam Fastball,single,ground_ball
13,100,Four-Seam Fastball,single,line_drive
15,93,Curveball,single,line_drive
14,91,Slider,single,line_drive
28,78,Slider,single,line_drive
-19,95,Four-Seam Fastball,single,ground_ball
13,98,Four-Seam Fastball,single,line_drive
21,97,Slider,single,line_drive
5,94,Curveball,single,ground_ball
26,66,Slider,single,fly_ball
10,97,Four-Seam Fastball,single,line_drive
14,97,Four-Seam Fastball,single,line_drive
16,96,Curveball,single,line_drive
27,67,Four-Seam Fastball,single,fly_ball
7,95,Four-Seam Fastball,single,ground_ball
-37,62,Curveball,single,ground_ball
21,69,Curveball,single,line_drive
0,104,Four-Seam Fastball,single,ground_ball
14,73,Slider,single,line_drive
21,84,Curveball,single,line_drive
14,82,Slider,single,line_drive
6,102,Curveball,single,ground_ball
17,86,Slider,single,line_drive
12,79,Slider,single,line_drive
-10,41,Slider,single,ground_ball
19,98,Four-Seam Fastball,single,line_drive
20,83,Curveball,single,line_drive
4,89,Curveball,single,ground_ball
31,67,Slider,single,fly_ball
-16,91,Curveball,single,ground_ball
13,93,Slider,single,line_drive
17,84,Four-Seam Fastball,single,line_drive
10,98,Four-Seam Fastball,single,line_drive
14,82,Four-Seam Fastball,single,line_drive
